order_id,customer_id,order_date,status
1,1,2018-01-01,placed
2,1,2018-01-02,shipped
3,2,2018-01-03,completed
4,3,2018-01-04,returned
5,4,2018-01-05,return_pending
6,5,2018-01-06,placed
7,6,2018-01-07,shipped
8,7,2018-01-08,completed
9,8,2018-01-09,returned
10,9,2018-01-10,return_pending
11,10,2018-01-11,placed
12,11,2018-01-12,shipped
13,12,2018-01-13,completed
14,13,2018-01-14,returned
15,14,2018-01-15,return_pending
16,15,2018-01-16,placed
17,16,2018-01-17,shipped
18,17,2018-01-18,completed
19,18,2018-01-19,returned
20,19,2018-01-20,return_pending
21,20,2018-01-21,placed
22,21,2018-01-22,shipped
23,22,2018-01-23,completed
24,23,2018-01-24,returned
25,24,2018-01-25,return_pending
26,25,2018-01-26,placed
27,26,2018-01-27,shipped
28,27,2018-01-28,completed
29,28,2018-01-29,returned
30,29,2018-01-30,return_pending
31,30,2018-01-31,placed
32,31,2018-02-01,shipped
33,32,2018-02-02,completed
34,33,2018-02-03,returned
35,34,2018-02-04,return_pending
36,35,2018-02-05,placed
37,36,2018-02-06,shipped
38,37,2018-02-07,completed
39,38,2018-02-08,returned
40,39,2018-02-09,return_pending
41,40,2018-02-10,placed
42,41,2018-02-11,shipped
43,42,2018-02-12,completed
44,43,2018-02-13,returned
45,44,2018-02-14,return_pending
46,45,2018-02-15,placed
47,46,2018-02-16,shipped
48,47,2018-02-17,completed
49,48,2018-02-18,returned
50,49,2018-02-19,return_pending
51,50,2018-02-20,placed
52,51,2018-02-21,shipped
53,52,2018-02-22,completed
