payment_id,order_id,payment_method,status,amount,created_at
1,1,credit_card,success,10.00,2018-01-01 00:00:00
2,2,coupon,success,15.50,2018-01-02 00:00:00
3,3,bank_transfer,fail,20.00,2018-01-03 00:00:00
4,4,gift_card,success,22.25,2018-01-04 00:00:00
5,5,credit_card,fail,18.75,2018-01-05 00:00:00
6,6,coupon,success,31.40,2018-01-06 00:00:00
7,7,bank_transfer,success,12.60,2018-01-07 00:00:00
8,8,credit_card,fail,44.10,2018-01-08 00:00:00
9,9,gift_card,success,27.35,2018-01-09 00:00:00
10,10,coupon,success,19.95,2018-01-10 00:00:00
11,11,credit_card,fail,25.80,2018-01-11 00:00:00
12,12,bank_transfer,success,33.15,2018-01-12 00:00:00
13,13,gift_card,success,41.50,2018-01-13 00:00:00
14,14,coupon,fail,16.20,2018-01-14 00:00:00
15,15,credit_card,success,28.45,2018-01-15 00:00:00
16,16,bank_transfer,success,35.70,2018-01-16 00:00:00
17,17,gift_card,fail,21.30,2018-01-17 00:00:00
18,18,coupon,success,14.85,2018-01-18 00:00:00
19,19,credit_card,success,39.25,2018-01-19 00:00:00
20,20,bank_transfer,fail,23.40,2018-01-20 00:00:00
21,21,gift_card,success,17.95,2018-01-21 00:00:00
22,22,coupon,success,29.60,2018-01-22 00:00:00
23,23,credit_card,fail,32.10,2018-01-23 00:00:00
24,24,bank_transfer,success,26.75,2018-01-24 00:00:00
25,25,gift_card,success,38.90,2018-01-25 00:00:00
26,26,coupon,fail,11.50,2018-01-26 00:00:00
27,27,credit_card,success,24.20,2018-01-27 00:00:00
28,28,bank_transfer,success,30.05,2018-01-28 00:00:00
29,29,gift_card,fail,42.80,2018-01-29 00:00:00
30,30,coupon,success,15.65,2018-01-30 00:00:00
31,31,credit_card,success,27.90,2018-01-31 00:00:00
32,32,bank_transfer,fail,36.45,2018-02-01 00:00:00
33,33,gift_card,success,20.10,2018-02-02 00:00:00
34,34,coupon,success,13.75,2018-02-03 00:00:00
35,35,credit_card,fail,45.25,2018-02-04 00:00:00
36,36,bank_transfer,success,28.80,2018-02-05 00:00:00
37,37,gift_card,success,34.55,2018-02-06 00:00:00
38,38,coupon,fail,22.90,2018-02-07 00:00:00
39,39,credit_card,success,19.30,2018-02-08 00:00:00
40,40,bank_transfer,success,31.75,2018-02-09 00:00:00
41,41,gift_card,fail,26.40,2018-02-10 00:00:00
42,42,coupon,success,18.05,2018-02-11 00:00:00
43,43,credit_card,success,37.60,2018-02-12 00:00:00
44,44,bank_transfer,fail,24.95,2018-02-13 00:00:00
45,45,gift_card,success,16.70,2018-02-14 00:00:00
46,46,coupon,success,29.15,2018-02-15 00:00:00
47,47,credit_card,fail,40.85,2018-02-16 00:00:00
48,48,bank_transfer,success,21.55,2018-02-17 00:00:00
49,49,gift_card,success,33.20,2018-02-18 00:00:00
50,50,coupon,fail,12.95,2018-02-19 00:00:00
51,51,credit_card,success,25.40,2018-02-20 00:00:00
52,52,bank_transfer,success,39.85,2018-02-21 00:00:00
53,53,gift_card,fail,17.60,2018-02-22 00:00:00

121,100,bank_transfer,success,1000,2025-02-14 00:00:00
122,101,credit_card,fail,400,2025-02-14 00:00:00
123,102,credit_card,success,1900,2025-02-14 00:00:00
124,103,credit_card,success,1000,2025-02-15 00:00:00
125,104,coupon,success,100,2025-02-15 00:00:00
